relation_id,source_a,source_b,relation_type,warrant,status,note
"R181","WRITTEN IN LIGHT and EVERYTHING IS TEMPORARY","final post and outer chapter","hidden message repeats explicit boundary language","Claude filename-run reconstruction and site titles","strongly supported","same-site recurrence rather than independent corroboration"
"R182","Bibliography → Decode → ᛠ","outer threshold","source apparatus passes through decoding into the final rune","direct previous and next links","established","Decode remains outside the Ear-Feoh category braid"
"R183","X≠Y≠Z: No Z","X≠Y≠Z: Z's Lament","expulsion followed by excluded voice's response","cross-page dramatic reference","established dramatically","direction differs from reverse-archive publication order"
"R184","Code archive","Rune Code archive","17 Rune Code entries nested within 25 Code entries","direct live archive comparison","established","the eight Code-only pages use other mechanisms or remain unresolved"
"R185","Byþ in Past","Byþ in Future","the grammatical-temporal form crosses both archive fields","direct live tag membership","established","shared membership is not a separate page sequence"
"R186","fourteen paired eponyms plus Twist","Duets archive","the fold's chapter pages are explicitly gathered as duets including the solitary middle","direct live archive membership","established 15 of 15","self-pair or internal pair at Twist remains interpretive"
"R187","ᛉ → Rune Casting Eolhx → X is for → Fen → Twist → Loop → How to See the Pair in the Middle → Translating Eolhx → Stanza 15 Helix → The Middle","Twist category archive","complete exceptional Middle path reversed by the archive","direct adjacent links and archive comparison","established 10 of 10","do not normalize into the reflected-pair envelope"
"R188","Alphybettyformed Verbage → O Yes W → Vern Tonkin → Bibliography → Decode → ᛠ","outer orientation and threshold","fold instruction poem author source apparatus decoding and entry into the outer rune","direct adjacent links","established","reader entry chronology and structural beginning remain distinct"
"R189","Stanza 12 Year → ᛇ","The Future → Trust","resolved outbound seam rejects a second reciprocal circuit","direct live navigation","established","supersedes the earlier timeout record"
"R190","Battle game-piece plaintext","Sitting to Battle chapter","game and death relation","full-resolution coordinate transcription","established locally","Borges chess and pain caption remain separate evidence"
"R191","Always solar-disc plaintext","Sigel solar recurrence","being endless and compulsory return","full-resolution coordinate transcription","established locally","the plate does not erase the chapter's other solar valuations"
"R192","It Never Deceives plaintext","Tiw trust field","interrupted question and reliable path","full-resolution coordinate transcription","established locally","retain WHAT DID without invented completion"
"R193","Bright Fruits plaintext","The Future chapter","fear and hope in present futurity","full-resolution coordinate transcription","established locally","fruit and Joyce caption confirm only after the count"
"R194","Friþ plaintext","War and Peace winter field","peace with snow mortality and restraint","full-resolution coordinate transcription","established locally","do not sanitize peace into comfort"
"R195","You Knew it Beforehand upper plaintext","Nobody gets out alive caption","knowledge question and mortality claim","full-resolution partial coordinate transcription","upper relation established","lower displayed bands are separately recorded in R199"
"R196","Axaxaxas mlö plaintext","Borges Library of Babel caption and Grotesque Alphabet","reading the beginning within a total library","full-resolution woven-coordinate transcription","established locally","the caption supplied no coordinate"
"R197","Soon After it Becomes Water plaintext","Water Cycle transformation hinge","SO LET US MELT and phase change","full-resolution ice-cluster transcription","established locally","title and placement confirm only after the count"
"R198","Everything is Temporary plaintext","extinguishing candle animation and eponymous chapter","the message's carrier performs its own temporariness","full-resolution animated coordinate transcription","established locally","animation does not create a cross-page plate order"
"R199","You Knew it Beforehand lower bands","mortality caption","AFTER NO LIFE DEATH as displayed bands","full-resolution face-coordinate transcription","bands established; sentence order open","do not import THERE IS or reorder silently"
"R200","Loop twenty-nine-rune grid","Octave group-place table","paper loops render the coordinate key inside the recursive Middle page","full-resolution grid inspection","established key relation","no second plaintext route is displayed"
"R201","A TWIN / SUN / DAY","Œdipean reciprocal-birth riddle and O is for Opposites","sun and day split across ray-count rows within twin sun-moon figures","full-resolution coordinate transcription","established locally","the riddle relation does not alter any coordinate"
"R202","WHAT DO YOU KNOW? and NO LIFE AFTER DEATH","Nobody gets out alive caption","question and mortality rebus","complete carrier transcription plus grammatical interpretation","semantic relation strongly supported","display order remains AFTER / NO / LIFE / DEATH"
"R203","Œ page secondary image 10-O","261-slot folded filename run","local page metadata supplies the verified O at slot 10","served filename and mechanical verifier","established","filename-run function remains separate from the ray-coordinate plaintext"
