id,title,url,role_or_stream,verification,status_note,supersedes,superseded_by
P166,Stanza 23: Home,https://lettersfortitles.com/stanza-23-home/,rune stanza / Eþel,Stanzas archive and adjacent-link evidence retrieved 2026-08-25,Previous Stanza 7 Gift; next Ing glyph,,
P167,Cen glyph,https://lettersfortitles.com/%E1%9A%B3/,rune glyph / Cen,live page and direct adjacent-link evidence retrieved 2026-08-26,Previous Dæg glyph; next Rune Casting Cen,,
P168,Rune Casting: Cen,https://lettersfortitles.com/rune-casting-cen/,divination / Cen,live page and direct adjacent-link evidence retrieved 2026-08-26,Gloom interior fire returning light and body-made shadow,,
P169,Rune Casting: Dæg,https://lettersfortitles.com/rune-casting-daeg/,divination / Dæg,live page and direct adjacent-link evidence retrieved 2026-08-26,Message and messenger spotlight fate abundance and destitution,,
P170,How to Burn it All Down,https://lettersfortitles.com/how-to-burn-it-all-down/,instruction manual / literary satire,live page and direct adjacent-link evidence retrieved 2026-08-26,Fury totality reversible dominance and bright-dark border,,
P171,C is for Computer,https://lettersfortitles.com/c-is-for-computer/,alphabet / computer,live page and direct adjacent-link evidence retrieved 2026-08-26,Screen as envoy messenger-message encyclopedia feeder and consumer,,
P172,X≠Y≠Z: Contraries and Negations,https://lettersfortitles.com/x%E2%89%A0y%E2%89%A0z-contraries-and-negations/,dialogue / contraries,live page and direct adjacent-link evidence retrieved 2026-08-26,Mutual opposition Z levels metaphor and tension,,
P173,Night Riddle,https://lettersfortitles.com/night-riddle/,code / riddle,live page and direct adjacent-link evidence retrieved 2026-08-26,Nictographic field transcribed in 0.18.0 with Lewis Carroll's Square Alphabet,,
P174,Light,https://lettersfortitles.com/light/,chapter orientation,live page and direct adjacent-link evidence retrieved 2026-08-26,Day Torch light dark interdependence and unequal security,,
P175,Or are you both?,https://lettersfortitles.com/or-are-you-both/,essay / wave question,live page and direct adjacent-link evidence retrieved 2026-08-26,Electromagnetic wave vital spark messenger or message,,
P176,How to make a Torch,https://lettersfortitles.com/how-to-make-a-torch/,instruction manual / torch,live page and direct adjacent-link evidence retrieved 2026-08-26,Pine resin four-way split airflow and fire risk,,
P177,D is for Dark,https://lettersfortitles.com/d-is-for-dark/,alphabet / darkness,live page and direct adjacent-link evidence retrieved 2026-08-26,Moonless human limit predators infestation and unequal perception,,
P178,How to Burn the Cotton Library,https://lettersfortitles.com/how-to-burn-the-cotton-library/,instruction manual / historical satire,live page and direct adjacent-link evidence retrieved 2026-08-26,Manuscript inheritance state custody combustible preservation and loss,,
P179,Translating Cen,https://lettersfortitles.com/translating-cen/,translation / Cen,live page and direct adjacent-link evidence retrieved 2026-08-26,Cynewulf multiplicity blac fire safety and elite interior light,,
P180,Translating Dæg,https://lettersfortitles.com/translating-day/,translation / Dæg,live page and direct adjacent-link evidence retrieved 2026-08-26,God lordship fate measure fortune wretchedness and divine message,,
P181,Stanza 24: Day,https://lettersfortitles.com/stanza-24-day/,rune stanza / Dæg,live page and direct adjacent-link evidence retrieved 2026-08-26,Previous Translating Dæg; next Stanza 6 Torch,,
P182,Stanza 6: Torch,https://lettersfortitles.com/stanza-6-torch/,rune stanza / Cen,live page and direct adjacent-link evidence retrieved 2026-08-26,Previous Stanza 24 Day; next Gifu glyph,,
P183,Ac glyph,https://lettersfortitles.com/%E1%9A%AA/,rune glyph / Ac,live page and direct adjacent-link evidence retrieved 2026-08-26,Previous Stanza 4 God; next Rad glyph,,
P184,Rad glyph,https://lettersfortitles.com/%E1%9A%B1/,rune glyph / Rad,live page and direct adjacent-link evidence retrieved 2026-08-26,Previous Ac glyph; next Rune Casting Rad,,
P185,Rune Casting: Rad,https://lettersfortitles.com/rune-casting-rad/,divination / Rad,live page and direct adjacent-link evidence retrieved 2026-08-26,Discussion departure saddle long hard ride,,
P186,Rune Casting: Ac,https://lettersfortitles.com/rune-casting-ac/,divination / Ac,live page and direct adjacent-link evidence retrieved 2026-08-26,Provision violent sea matchwood and holding true,,
P187,How to Measure a Mile,https://lettersfortitles.com/how-to-measure-a-mile/,instruction manual / metrological satire,live page and direct adjacent-link evidence retrieved 2026-08-26,Oxen furrow furlong acre pace labor and bodily distance,,
P188,A is for Golem Aleph,https://lettersfortitles.com/a-is-for-golem-aleph/,alphabet / A.I. and Golem,live page and direct adjacent-link evidence retrieved 2026-08-26,Silicon creator claimed God Aleph life death and peaceful development,,
P189,The Way,https://lettersfortitles.com/the-way/,code / Rune Code,live page plus full-resolution plate retrieved through primary media 2026-08-28,Tree-stave coordinates mechanically read THE MAIN ROAD IS LEVEL YET PEOPLE LOVE TO BE SIDETRACKED,,
P190,X≠Y≠Z: Are we there yet?,https://lettersfortitles.com/X%E2%89%A0Y%E2%89%A0Z-are-we-there-yet/,dialogue / path and destination,live page and direct adjacent-link evidence retrieved 2026-08-26,Line path making destination and release from foreknowledge,,
P191,By Land and By Sea,https://lettersfortitles.com/by-land-and-by-sea/,chapter orientation,live page and direct adjacent-link evidence retrieved 2026-08-26,Roman routes medieval circulation people goods ideas teeth and bones,,
P192,How to Bathe a Gannet,https://lettersfortitles.com/how-to-bathe-a-gannet/,instruction manual / absurd satire,live page and direct adjacent-link evidence retrieved 2026-08-26,Literalized kenning scent memory bird colony and impossible reform,,
P193,Crann Bethadh,https://lettersfortitles.com/crann-bethadh/,essay / oak and Ogam,live page and direct adjacent-link evidence retrieved 2026-08-26,Old Irish tree of life axis mundi bríatharogam and craft,,
P194,R is for Riddle,https://lettersfortitles.com/r-is-for-riddle/,alphabet / riddle,live page and direct adjacent-link evidence retrieved 2026-08-26,Wednesday travel riddle without supplied solution,,
P195,How to Make Ink,https://lettersfortitles.com/how-to-make-iron-gall-ink/,instruction manual / encoded ink recipe,live page and direct adjacent-link evidence retrieved 2026-08-26,Oak gall initials transformation and inscription,,
P196,Translating Ac,https://lettersfortitles.com/translating-ac/,translation / Ac,live page and direct adjacent-link evidence retrieved 2026-08-26,Riddle answer age food boat violent sea tree truth and trust,,
P197,Translating Rad,https://lettersfortitles.com/translating-rad/,translation / Rad,live page and direct adjacent-link evidence retrieved 2026-08-26,Ride road Roman miles hard horse hall governance and embodiment,,
P198,Stanza 5: The Ride,https://lettersfortitles.com/stanza-25-the-ride/,rune stanza / Rad,live page and direct adjacent-link evidence retrieved 2026-08-26,Previous Translating Rad; next Stanza 25 Oak,,
P199,Eolhx glyph,https://lettersfortitles.com/%E1%9B%89/,rune glyph / Eolhx,Runes archive page and capture record retrieved 2026-08-22,Middle glyph; previous Stanza 14 The Game; next Rune Casting Eolhx,,
P200,Dæg glyph,https://lettersfortitles.com/%E1%9B%9E/,rune glyph / Dæg,Runes archive page and capture record retrieved 2026-08-22,Light glyph; capture predates completed Light reconstruction,,
P201,Rune Casting: Eolhx,https://lettersfortitles.com/rune-casting-eolhx/,divination / Eolhx,Rune Casting archive page and capture record retrieved 2026-08-22,Middle casting; previous Eolhx glyph; next X is for,,
P202,Translating Ear,https://lettersfortitles.com/translating-ear/,translation / Ear,Everything is Temporary category page and capture record retrieved 2026-08-22,Page carries Translation tag but is absent from retrieved Translation archive snapshot,,
P203,Translating Peorð,https://lettersfortitles.com/translating-peord/,translation / Peorþ,Translation archive page and capture record retrieved 2026-08-22,Canonical slug uses peord; missing central word preserved,,
P204,Os glyph,https://lettersfortitles.com/%E1%9A%A9/,rune glyph / Os,direct live page and served-source inspection 2026-08-27,Axis Mundi position 1; previous Stanza 27 Bow; next Æsc glyph,,
P205,Æsc glyph,https://lettersfortitles.com/%E1%9A%AB/,rune glyph / Æsc,direct live page and served-source inspection 2026-08-27,Axis Mundi position 2; site-authored fold statement,,
P206,Rune Casting: Os,https://lettersfortitles.com/rune-casting-os/,divination / Os,direct live page and served-source inspection 2026-08-27,Axis Mundi position 3,,
P207,X≠Y≠Z: How to Punch a Tree,https://lettersfortitles.com/x%E2%89%A0y%E2%89%A0z-how-to-punch-a-tree/,X/Y/Z / instruction manual,direct live page and served-source inspection 2026-08-27,Axis Mundi position 5; displayed title contains doubled spacing after colon,,
P208,O is for Apostrophe,https://lettersfortitles.com/o-is-for-apostrophe/,alphabet book / O,direct live page and served-source inspection 2026-08-27,Axis Mundi position 6,,
P209,Shh,https://lettersfortitles.com/shh/,code / Rune Code,direct live page and full-resolution served-source inspection 2026-08-29,Axis Mundi position 7; body-textless; tree-bough coordinates read SILENT,,
P210,The Ogam Ash Tree,https://lettersfortitles.com/ogam-ash-tree/,essay / Ogam / ash,direct live page and served-source inspection 2026-08-27,Axis Mundi position 8,,
P211,Axis Mundi,https://lettersfortitles.com/axismundi/,chapter eponym / Os–Æsc,direct live page and served-source inspection 2026-08-27,Axis Mundi position 9; Duets tag directly verified,,
P212,Truth,https://lettersfortitles.com/truth/,essay / tree / truth,direct live page and served-source codepoint inspection 2026-08-27,Axis Mundi position 10; U+16A8 glyph-gloss inconsistency preserved,,
P213,Speech Bearer,https://lettersfortitles.com/speech-bearer/,verse / Old English / tree,direct live page and served-source inspection 2026-08-27,Axis Mundi position 11; one article image only,,
P214,Æ is for George William Russell,https://lettersfortitles.com/ae-is-for-george-william-russell/,alphabet book / Æ,direct live page and served-source inspection 2026-08-27,Axis Mundi position 12,,
P215,Translating Os,https://lettersfortitles.com/translating-os/,translation / Os,direct live page and served-source inspection 2026-08-27,Axis Mundi position 14,,
P216,Translating Æsc,https://lettersfortitles.com/translating-ash/,translation / Æsc,direct live page and served-source inspection 2026-08-27,Axis Mundi position 15; canonical slug uses ash,,
P217,Stanza 26: Ash,https://lettersfortitles.com/ash/,rune stanza / Æsc,direct live page and served-source inspection 2026-08-27,Axis Mundi position 16,,
P218,Stanza 4: God,https://lettersfortitles.com/god-mouth/,rune stanza / Os,direct live page and served-source inspection 2026-08-27,Axis Mundi position 17; next Ac glyph,,
P219,Thorn glyph,https://lettersfortitles.com/th/,rune glyph / Thorn,direct live page and served-source inspection 2026-08-28,They'll Cut You position 1; displayed title is Roman thorn; previous Stanza 2 Aurochs,,
P220,Yr glyph,https://lettersfortitles.com/%E1%9A%A3/,rune glyph / Yr / UI,direct live page and served-source inspection 2026-08-28,They'll Cut You position 2,,
P221,Rune Casting: Yr,https://lettersfortitles.com/rune-casting-yr/,divination / Yr,direct live page and served-source inspection 2026-08-28,They'll Cut You position 3,,
P222,Rune Casting: Thorn,https://lettersfortitles.com/rune-casting-thorn/,divination / Thorn,direct live page and served-source inspection 2026-08-28,They'll Cut You position 4; one article image only,,
P223,How to Grab a Thorn,https://lettersfortitles.com/how-to-grab-a-thorn/,instruction manual / thorn satire,direct live page and served-source inspection 2026-08-28,They'll Cut You position 5,,
P224,Th is for Ye,https://lettersfortitles.com/th-is-for-ye/,alphabet / print history,direct live page and served-source inspection 2026-08-28,They'll Cut You position 6,,
P225,X≠Y≠Z: Three Body Problem,https://lettersfortitles.com/x-%E2%89%A0-y-%E2%89%A0-z-three-body-problem/,X/Y/Z / verse,direct live page and served-source inspection 2026-08-28,They'll Cut You position 7; displayed title contains doubled spacing after colon,,
P226,How to do Archery,https://lettersfortitles.com/how-to-do-archery/,instruction manual / paradox satire,direct live page and served-source inspection 2026-08-28,They'll Cut You position 8,,
P227,They'll Cut You,https://lettersfortitles.com/they-cut/,chapter eponym / Thorn–Yr,direct live page and served-source inspection 2026-08-28,They'll Cut You position 9; Duets tag directly verified; one article image only,,
P228,Arrows,https://lettersfortitles.com/arrows/,code / Rune Code,direct live page plus full-resolution plate inspection 2026-08-28,Body-textless coordinate plate reads THE ARROW ONE FORESEES ARRIVES MORE SLOWLY,,
P229,For Anybody Who Rests With Them,https://lettersfortitles.com/for-anybody-who-rests-with-them/,code / Rune Code,full-resolution transcription completed 2026-08-29,HOW UNCOMFORTABLE DO YOU WANT TO BE? from twenty-eight thorn coordinates plus direct Y and question mark,,
P230,UI is for User Interface,https://lettersfortitles.com/ui-is-for-user-interface/,alphabet / site specification,direct live page and served-source inspection 2026-08-28,They'll Cut You position 12,,
P231,How To Declare War,https://lettersfortitles.com/how-to-declare-war/,instruction manual / speech-act satire,direct live page and served-source inspection 2026-08-28,They'll Cut You position 13; second-image filename begins 142 rather than expected 144,,
P232,Translating Yr,https://lettersfortitles.com/translating-yr/,translation / Yr,direct live page and served-source inspection 2026-08-28,They'll Cut You position 14,,
P233,Stanza 3: Thorn,https://lettersfortitles.com/thorn/,rune stanza / Thorn,direct live page and served-source inspection 2026-08-28,They'll Cut You position 16,,
P234,Stanza 27: Bow,https://lettersfortitles.com/yew-bow/,rune stanza / Yr,direct live page and served-source inspection 2026-08-28,They'll Cut You position 17; next Os glyph; one article image only,,
P235,Ur glyph,https://lettersfortitles.com/%E1%9A%A2/,rune glyph / Ur,direct live page and served-source inspection 2026-08-28,Moody Joy position 1; previous Stanza 29 Grave; next Ior glyph,,
P236,Ior glyph,https://lettersfortitles.com/%E1%9B%A1/,rune glyph / Ior,direct live page and served-source inspection 2026-08-28,Moody Joy position 2,,
P237,Rune Casting: Ur,https://lettersfortitles.com/rune-casting-ur/,divination / Ur,direct live page and served-source inspection 2026-08-28,Moody Joy position 3,P023,
P238,Rune Casting: Ior,https://lettersfortitles.com/rune-casting-ior/,divination / Ior,direct live page and served-source inspection 2026-08-28,Moody Joy position 4; one article image only,,
P239,How to Milk a Beaver,https://lettersfortitles.com/how-to-milk-a-beaver/,instruction manual / satire,direct live page and served-source inspection 2026-08-28,Moody Joy position 5; unsafe animal interaction retained as satire,,
P240,IO is for I/O,https://lettersfortitles.com/io-is-for-i-o/,alphabet book / code,direct live page and served-source inspection 2026-08-28,Moody Joy position 6; binary decoded in 0.18.0 as 79 bytes of 8-bit ASCII,,
P241,Axaxaxas mlö,https://lettersfortitles.com/axaxaxas-mlo/,code / Rune Code,full-resolution transcription completed 2026-08-30,CAN YOU READ ME — ARE YOU READING THE BEGINNING OF SOMETHING? from woven coordinates plus direct punctuation,,
P242,Wyrd,https://lettersfortitles.com/wyrd/,essay / manuscript / revision,direct live page and served-source inspection 2026-08-28,Moody Joy position 8; one article image only; site revision history preserved,P033,
P243,How to go Extinct,https://lettersfortitles.com/how-to-go-extinct/,instruction manual / satire,direct live page and served-source inspection 2026-08-28,Moody Joy position 9; literary satire,,
P244,Moody Joy,https://lettersfortitles.com/moody-joy/,chapter eponym / Ur–Ior,direct live page and served-source inspection 2026-08-28,Moody Joy position 10 of 19; Duets tag directly verified,,
P245,Bad Idea,https://lettersfortitles.com/bad-idea/,essay / historical satire,direct live page and served-source inspection 2026-08-28,Moody Joy position 11,,
P246,The Aurochs and the Beaver,https://lettersfortitles.com/the-aurochs-and-the-beaver/,verse / duet,direct live page and served-source inspection 2026-08-28,Moody Joy position 12,,
P247,X≠Y≠Z: What is that?,https://lettersfortitles.com/x%E2%89%A0y%E2%89%A0z-what-is-that/,X/Y/Z / observer dialogue,direct live page and served-source inspection 2026-08-28,Moody Joy position 13; second image filename unnumbered,,
P248,U is for Expnged,https://lettersfortitles.com/u-is-for-expnged/,alphabet book / constrained writing,direct live page and served-source inspection 2026-08-28,Moody Joy position 14; U omitted from displayed body; one article image only,,
P249,How to Look Joyful,https://lettersfortitles.com/how-to-look-joyful/,instruction manual / satire,direct live page and served-source inspection 2026-08-28,Moody Joy position 15,,
P250,Translating Ur,https://lettersfortitles.com/translating-ur/,translation / Ur,direct live page and served-source inspection 2026-08-28,Moody Joy position 16,,
P251,Translating Ior,https://lettersfortitles.com/translating-ior/,translation / Ior,direct live page and served-source inspection 2026-08-28,Moody Joy position 17; beaver is site-argued riddle solution,,
P252,Stanza 28: Beaver,https://lettersfortitles.com/beaver/,rune stanza / Ior,direct live page and served-source inspection 2026-08-28,Moody Joy position 18,,
P253,Stanza 2: Aurochs,https://lettersfortitles.com/aurochs/,rune stanza / Ur,direct live page and served-source inspection 2026-08-28,Moody Joy position 19; next Thorn glyph,,
P254,Ear glyph,https://lettersfortitles.com/%E1%9B%A0/,rune glyph / Ear,direct live page and served-source inspection 2026-08-28,Everything is Temporary position 1; previous Decode,,
P255,Feoh glyph,https://lettersfortitles.com/%E1%9A%A0/,rune glyph / Feoh,direct live page and served-source inspection 2026-08-28,Everything is Temporary position 2,,
P256,Rune Casting: Feoh,https://lettersfortitles.com/rune-casting-feoh/,divination / Feoh,direct live page and served-source inspection 2026-08-28,Everything is Temporary position 4,,
P257,Against every Evil Rune Poem,https://lettersfortitles.com/against-every-evil-rune-poem/,literary leechcraft / manuscript composition,direct live page and served-source inspection 2026-08-28,Everything is Temporary position 5; not verified medicine,,
P258,How to Move a Cow,https://lettersfortitles.com/how-to-move-a-cow/,instruction manual / satire,direct live page and served-source inspection 2026-08-28,Everything is Temporary position 6; not practical guidance,,
P259,F is for Finis,https://lettersfortitles.com/f-is-for-finis/,alphabet book / image diptych,direct live page and served-source inspection 2026-08-28,Everything is Temporary position 7,,
P260,X≠Y≠Z: Rune Casting!,https://lettersfortitles.com/x%E2%89%A0y%E2%89%A0z-death-and-cattle/,X/Y/Z dialogue / Rune Casting crossing,direct live page and served-source inspection 2026-08-28,Everything is Temporary position 8; not a direct rune casting,,
P261,Octave,https://lettersfortitles.com/octave/,essay / rune code,direct live page and served-source inspection 2026-08-28,Textual source of the twenty-nine-rune group/place key; key carrier not plaintext,,
P262,How to Die,https://lettersfortitles.com/how-to-die/,instruction manual / literary self-harm satire,direct live page and served-source inspection 2026-08-28,Everything is Temporary position 10; not actionable guidance,,
P263,The Oxen of the Sun,https://lettersfortitles.com/the-oxen-of-the-sun/,mathematical letter / cattle problem,direct live page and served-source inspection 2026-08-28,Everything is Temporary position 11,,
P264,Everything is Temporary,https://lettersfortitles.com/everything-temporary/,chapter eponym / Ear–Feoh,animated-carrier transcription completed 2026-08-30,EVERYTHING IS TEMPORARY from seventeen coordinates plus direct V and two Y marks,,
P265,X≠Y≠Z: 1984,https://lettersfortitles.com/x-%E2%89%A0-y-%E2%89%A0-z-1984/,X/Y/Z dialogue,direct live page and served-source inspection 2026-08-28,Everything is Temporary position 13,,
P266,F is for Fee,https://lettersfortitles.com/f-is-for-fee/,alphabet book / constrained alliteration,direct live page and served-source inspection 2026-08-28,Everything is Temporary position 14,,
P267,COW,https://lettersfortitles.com/cow/,code / COW esolang,direct live page and served-source inspection 2026-08-28,Everything is Temporary position 15; bounded page-local emulation decoded in 0.18.0,,
P268,X is not Y and Neither is Z,https://lettersfortitles.com/x-%E2%89%A0-y-%E2%89%A0-z/,X/Y/Z / alphabetic verse,direct live page and served-source inspection 2026-08-28,Everything is Temporary position 16,,
P269,EA is for Death,https://lettersfortitles.com/ea-is-for-death/,alphabet book / temporal essay,direct live page and served-source inspection 2026-08-28,Everything is Temporary position 17; one article image only,,
P270,How to Dig my Grave,https://lettersfortitles.com/how-to-dig-my-grave/,instruction manual / burial satire,direct live page and served-source inspection 2026-08-28,Everything is Temporary position 18; not actionable guidance,,
P271,Translating Feoh,https://lettersfortitles.com/translating-feoh/,translation / Feoh / Rune Casting crossing,direct live page and served-source inspection 2026-08-28,Everything is Temporary position 21; cross-tagged but not a direct casting,,
P272,Stanza 1: Wealth,https://lettersfortitles.com/stanza-1-wealth/,rune stanza / Feoh,direct live page and served-source inspection 2026-08-28,Everything is Temporary position 22,,
P273,Stanza 29: The Grave,https://lettersfortitles.com/the-grave/,rune stanza / Ear,direct live page and served-source inspection 2026-08-28,Everything is Temporary position 23; next Ur glyph,,
P274,Decode,https://lettersfortitles.com/decode/,code / threshold,direct live page and served-source inspection 2026-08-29,Image-led page between Bibliography and Ear glyph; secondary filename 254-M,,
P275,Instruction Manual archive,https://lettersfortitles.com/tag/instruction-manual/,instruction index,direct live archive inspection 2026-08-29,34 entries,,
P276,Translation archive,https://lettersfortitles.com/tag/translation/,translation index,direct live archive inspection 2026-08-29,34 entries including ꝥ; Translating Ear remains absent,,
P277,X≠Y≠Z archive,https://lettersfortitles.com/tag/x%E2%89%A0y%E2%89%A0z/,dialogue index,direct live archive inspection 2026-08-29,16 entries,,
P278,Code archive,https://lettersfortitles.com/tag/code/,code index,direct live archive inspection 2026-08-29,25 entries including Decode,,
P279,Rune Code archive,https://lettersfortitles.com/tag/rune-code/,Rune Code index,direct live archive inspection 2026-08-29,17-entry subset of Code,,
P280,Duets archive,https://lettersfortitles.com/tag/duets/,chapter-pair index,direct live archive inspection 2026-08-29,15 eponyms including Twist and all fourteen reflected pairs,,
P281,Mathematical Esoterica archive,https://lettersfortitles.com/tag/mathematical-esoterica/,cross-series index,direct live archive inspection 2026-08-29,9 entries,,
P282,Riddles archive,https://lettersfortitles.com/tag/riddles/,riddle index,direct live archive inspection 2026-08-29,6 entries,,
P283,Past archive,https://lettersfortitles.com/tag/past/,temporal index,direct live archive inspection 2026-08-29,14 entries,,
P284,Future archive,https://lettersfortitles.com/tag/future/,temporal index,direct live archive inspection 2026-08-29,6 entries,,
P285,Letter archive,https://lettersfortitles.com/tag/letter/,letter-form index,direct live archive inspection 2026-08-29,4 entries,,
