claim_id,claim,claimant,evidence_location,evidence_class,current_assessment,next_check
"C158","The They'll Cut You category archive contains exactly the direct-walk set of seventeen pages in exact reverse order","corpus observation","theyll_cut_you_path.md and live category cross-check","same-site completeness and order comparison","verified","the archive was opened only after the direct walk and is not an independent witness"
"C159","Stanza 2 Aurochs links directly into the Thorn glyph","corpus observation","direct Thorn-glyph previous link","primary-site navigation","verified","retain as Moody Joy-to-They'll Cut You seam"
"C160","The eponymous position-9 page has the Duets tag in all twelve completed paired braids","corpus inference","four directly verified tagged pages plus eight positional matches","partial tag extrapolation","verified 4 of 12 only","do not propagate the tag without direct page evidence"
"C161","Every They'll Cut You position displays a second alphabet asset descending by two without exception","corpus inference","served media at seventeen direct-walk positions","exceptionless asset model","falsified at positions 4 9 and 17","do not fabricate 162 152 or 136 assets"
"C162","How To Declare War serves a second-image filename beginning 142 at position 13","corpus observation","served image URL","direct media observation","verified; apparent duplicate of position 14","do not silently repair the filename to expected 144"
"C163","The They'll Cut You partner order is Thorn-Yr Yr-Thorn Yr-Thorn Thorn-Yr across glyph casting translation and stanza pairs","corpus observation","direct seventeen-page path","comparative navigation","verified locally","retain order mutation rather than pair shorthand alone"
"C164","The Thorn glyph page displays Roman Thorn as its title while also tagging runic Thorn","corpus observation","served title and tags","direct source observation","verified","preserve displayed title and runological form separately"
"C165","Arrows and For Anybody Who Rests With Them are body-textless Rune Code pages","corpus observation","served article bodies","direct source observation","verified","both plates are mechanically decoded while retaining separate page-local plaintexts"
"C166","They'll Cut You is merely a symbolic opposition between danger and beauty","no claimant","chapter eponym and braid","reductive interpretation","rejected","preserve thegn labor hierarchy war display horse bow fame speech code and bodily wound"
"C167","Forty-eight classified archive-order comparisons pass: 36 independent retrochecks 4 prospective Axis tests 4 direct-before-archive They'll Cut You checks and 4 derived By Land and By Sea comparisons","corpus observation","braid_archive_order_audit.csv","mechanical comparative audit","verified","all evidence remains same-site and publication chronology remains unresolvable"
"C168","The Yr glyph explicitly links to the Middle the paired Middle instruction and Everything is Temporary","corpus observation","direct internal links","primary-site relation","verified","do not treat linked pages as members of the They'll Cut You path"
"C169","UI is for User Interface documents images fonts notebooks error text speech and invented alphabet as parts of the site interface","site author","UI is for User Interface","primary-site interface specification","recorded","verify cited manuscripts and design sources"
"C170","X≠Y≠Z Three Body Problem supplies a complete solution to the Thorn-Yr chapter","corpus inference","one X/Y/Z verse","unsupported totalization","rejected","retain three unequal linked voices without displacing the chapter braid"
"C171","The mostly position-indexed They'll Cut You media sequence establishes publication chronology","corpus inference","served numbered image filenames","unsupported temporal inference","rejected","media relation and chronology remain distinct"
"C172","Moody Joy is the next bounded direct-walk target","corpus method conclusion","Thorn previous link and chapter status","acquisition boundary","established","walk backward from Stanza 2 Aurochs before opening its category archive"
"C173","Moody Joy contains nineteen category pages in a 2+2+11+2+2 partition with its eponym at position 10","corpus observation","moody_joy_path.md and nineteen captures","mechanical positional comparison","verified","falsifies the twelve-chapter 2+2+9+2+2 invariant"
"C174","The Moody Joy category archive contains exactly the direct-walk set of nineteen pages in exact reverse order","corpus observation","moody_joy_path.md and live category cross-check","same-site completeness and order comparison","verified","the archive was opened only after the direct walk"
"C175","The central Moody Joy eponym directly carries the Duets tag","corpus observation","Moody Joy page and position 10","direct tag and navigation observation","verified","fifth direct tag verification among thirteen paired braids"
"C176","All reflected-pair chapters have exactly seventeen pages and a nine-page interior","corpus inference","prior twelve-chapter sample plus Moody Joy falsification","exceptionless envelope model","falsified by Moody Joy","preserve the former sample result and use only a narrower successor model"
"C177","The thirteen completed paired braids retain paired glyph casting translation and stanza enclosures around an odd interior with a central eponym","corpus inference","thirteen chapter path files","post-failure successor model","survives current sample","interior length is not invariant"
"C178","Stanza 29 The Grave links directly into the Ur glyph","corpus observation","direct Ur-glyph previous link","primary-site navigation","verified","retain as Everything is Temporary-to-Moody Joy seam"
"C179","Moody Joy partner order is Ur-Ior Ur-Ior Ur-Ior Ior-Ur across glyph casting translation and stanza pairs","corpus observation","direct nineteen-page path","comparative navigation","verified locally","retain order mutation rather than pair shorthand alone"
"C180","The Moody Joy position-indexed media series lacks numbered secondary assets at positions 4 8 and 14 and serves an unnumbered second image at position 13","corpus observation","nineteen media captures","direct served-media observation","verified","do not fabricate 200 192 182 or 180"
"C181","Wyrd documents removal of material from Rune Casting Ur and replacement of an earlier page called The Beasts of the Field","site author","Wyrd page","primary-site revision statement","recorded","preserve as page-slot provenance rather than silent stability"
"C182","The Moody Joy eponym says Ior and Ear traded places so Ear could remain paired with Feoh","site author","Moody Joy eponym","primary-site structural claim","recorded and internally consequential","distinguish authorial rationale from historical runic order"
"C183","How to Milk a Beaver How to go Extinct and How to Look Joyful are practical guidance","corpus inference","three Instruction Manual pages","literalization of satire","rejected","retain as literary compositions and do not operationalize"
"C184","Everything is Temporary contains twenty-three category pages in a 2+2+15+2+2 partition with its eponym at position 12","corpus observation","everything_is_temporary_path.md and twenty-three captures","mechanical positional comparison","verified","extends variable interior length while retaining centrality"
"C185","The Everything is Temporary category archive contains exactly the direct-walk set of twenty-three pages in exact reverse order","corpus observation","everything_is_temporary_path.md and live category cross-check","same-site completeness and order comparison","verified","the archive was opened only after the direct walk"
"C186","The central Everything is Temporary eponym directly carries the Duets tag","corpus observation","Everything is Temporary page and position 12","direct tag and navigation observation","verified","sixth direct tag verification among fourteen paired braids"
"C187","All fourteen completed paired braids retain paired glyph casting translation and stanza enclosures around an odd interior with a central eponym","corpus inference","fourteen chapter path files","post-failure successor model","passes final reflected-pair test","interior lengths are nine eleven and fifteen; the Middle remains exceptional"
"C188","Decode links directly into the Ear glyph and Stanza 29 The Grave links directly into the Ur glyph","corpus observation","direct boundary links","primary-site navigation","verified","retain as incoming outer boundary and Everything is Temporary-to-Moody Joy seam"
"C189","Everything is Temporary partner order is Ear-Feoh Ear-Feoh Ear-Feoh Feoh-Ear across glyph casting translation and stanza pairs","corpus observation","direct twenty-three-page path","comparative navigation","verified locally","the stanza pair alone reverses"
"C190","The Everything is Temporary position-indexed media series lacks numbered secondary assets at positions 3 and 17","corpus observation","twenty-three media captures","direct served-media observation","verified","do not fabricate 248 or 220"
"C191","Translating Feoh and X≠Y≠Z Rune Casting are the two non-direct crossings in the thirty-one-entry Rune Casting tag archive","corpus observation","Rune Casting register direct path and page tags","archive-stream reconciliation","verified","retain twenty-nine direct castings and two crossings"
"C192","How to Die and How to Dig my Grave are practical guidance","corpus inference","two Instruction Manual pages","literalization of literary or satirical procedure","rejected","do not reproduce or operationalize self-harm or burial instructions"
"C193","How to Move a Cow and Against every Evil Rune Poem are verified animal-handling physics or medical guidance","corpus inference","two instruction-shaped pages","literalization of satire and historical leechcraft","rejected","retain as literary compositions without practical certification"
"C194","All fourteen reflected-pair chapters have now been directly reconstructed","corpus state conclusion","fourteen chapter path files and runic_pair_matrix.csv","coverage comparison","verified","the Middle is separately complete as a ten-page unpaired path rather than a fifteenth paired braid"
"C195","The IO is for I/O binary decodes as 79 bytes of 8-bit ASCII ending in one encoded trailing space","corpus observation","IO is for I/O visible binary and cipher_reconciliation_v0.18.0.md","mechanical byte decode","verified","preserve exact bytes and do not transfer binary decoding to unrelated pages"
"C196","The COW page program halts after 83144 bounded-emulation steps and emits three labyrinth questions followed by two newlines","corpus observation","COW page command legend program and cipher_reconciliation_v0.18.0.md","bounded page-local emulation","verified","no input integer output or dynamic execution commands occur"
"C197","Night Riddle reads CAN YOU READ / WHAT WAS / WRITTEN / IN THE / DARK? under Lewis Carroll's Nyctographic Square Alphabet","corpus observation","Night Riddle lead image page tags and historical alphabet","symbol-by-symbol transcription","verified","chapter position did not supply letters and the key is not generalized"
"C198","The three recovered cipher texts share one decoder or establish a master key for the corpus","corpus inference","ASCII COW and nyctographic mechanisms","unsupported generalization","rejected","retain distinct page-local mechanisms and unresolved status elsewhere"
"C199","Canonical mysterywyrm.gif independently contains an additional plaintext or frame-order cipher","corpus inference","six coalesced GIF frames and metadata inspection","unsupported additional-layer interpretation","rejected","0.19.0 identifies its positional slot-32 question mark through live filename and folded-run evidence not frame ordering"
"C200","Claude's full harvest recovers a 261-character filename cipher by folding the 261 non-seed posts at chronological post 131 Turn","independent audit source","claude_cipher_handoff_v0.19.0.md","reported repository script and complete site harvest","strongly supported and locally qualified","full repository files are not supplied in this channel"
"C201","All 65 numbered filename tokens preserved in this corpus at slots 102 through 252 match Claude's 261-character message","corpus observation","verify_cipher_letter_run.py and page media records","mechanical local cross-check","65 / 65 pass","does not inflate the local subset into a rerun of the absent 216-slot script"
"C202","The 261-slot run applies the same center-out fold to publication time that the chapter chiasm applies to the rune sequence","corpus inference","Claude handoff fold formula and established pair matrix","formal cross-domain comparison","strongly supported","calendar fold and stanza fold remain distinct evidence objects"
"C203","Slot 32 is a question mark and the message reads SEE? YOU ARE SLIPPING AWAY","corpus observation","live 32-Letters-for-Titles GIF and exact 261-slot position","primary media plus mechanical indexing","verified","the gate's wider P wyn question relation is not collapsed into this punctuation function"
"C204","AS001 mysterywyrm.gif is a resized optimized derivative of the live 1000x1000 slot-32 GIF","corpus observation","six corresponding frames timing dimensions and normalized RMSE comparison","cross-resolution media comparison","verified","local bytes differ while source relation is established"
"C205","Arrows reads THE ARROW ONE FORESEES ARRIVES MORE SLOWLY under the Octave group.place key","corpus observation","full-resolution Arrows notebook plate and visible working key","symbol-by-symbol transcription","verified","retain Dante Paradiso XVII.27 attribution"
"C206","The Way reads THE MAIN ROAD IS LEVEL YET PEOPLE LOVE TO BE SIDETRACKED under the Octave group.place key","corpus observation","full-resolution tree-stave plate","symbol-by-symbol transcription","verified","retain as page-local Taoic inscription"
"C207","Present reads YOU HAVE NOTHING ELSE under the Octave group.place key","corpus observation","full-resolution gift-stave plate","symbol-by-symbol transcription","verified","the plaintext repeats the chapter title"
"C208","The Rune Code plates form one demonstrated continuous text in publication or folded order","corpus inference","three independently decoded plates","sequence generalization","not established","current evidence favors separate page-local inscriptions or epigraphs sharing one coordinate mechanism"
"C209","Decode is a source page in the direct seam Bibliography to Decode to the Ear glyph","corpus observation","Decode previous and next links","direct live navigation","verified 2026-08-29","retain outside the Ear-Feoh category braid"
"C210","Decode's secondary filename 254-M matches slot 254 of the 261-character folded filename message","corpus observation","served media filename and verify_cipher_letter_run.py","mechanical local cross-check","verified","local subset rises to 66 of 66"
"C211","The live X≠Y≠Z archive contains sixteen entries and every entry was already captured in 0.19.0","corpus observation","live tag archive and capture canonical URLs","archive-to-corpus comparison","verified 16 of 16","the prior gap was a missing series object not missing pages"
"C212","X≠Y≠Z publication order is identical to its dramatic chronology","corpus inference","archive reversal and cross-page references","order comparison","rejected","No Z precedes Z's Lament dramatically while reverse-publication direction places the lament earlier"
"C213","The live Duets archive contains all fourteen reflected-pair eponyms plus Twist","corpus observation","live Duets archive","direct archive membership","verified 15 of 15","supersedes the six-page current-state count without rewriting its dated history"
"C214","The current Translation archive contains 34 entries including ꝥ while Translating Ear remains archive-absent despite its page tag","corpus observation","live Translation archive and Translating Ear page","dated archive-state comparison","verified 2026-08-29","35 Translation-tag pages are known site-wide"
"C215","The live Code archive has 25 entries and Rune Code is a 17-entry subset","corpus observation","live Code and Rune Code archives","direct archive membership","verified","membership does not imply successful transcription"
"C216","The audited principal and secondary series contain another unregistered entry page besides Decode","corpus inference","eleven live archives compared with page register","coverage comparison","rejected for inspected archives","the claim is bounded to the inspected archive surfaces"
"C217","The Middle consists only of two disconnected short paths whose completeness is open","earlier corpus state","direct navigation plus live Twist category archive","consolidation comparison","superseded","Fen to Twist to Loop joins the fragments into one complete ten-page path"
"C218","The complete Middle path contains ten pages from the Eolhx glyph through The Middle","corpus observation","all adjacent links and live Twist category archive","direct-path and reverse-archive comparison","verified 10 of 10","the exceptional path is not a fifteenth reflected-pair braid"
"C219","Every registered content page has a compact capture folder","corpus observation","verified-page URLs capture canonical URLs and reconciliation ledger","bidirectional mechanical comparison","verified 263 of 263","the fifteen uncaptured URLs are intentional archive or index surfaces"
"C220","All 73 numbered filename tokens preserved in capture media match the 261-character transcription","corpus observation","verify_cipher_letter_run.py and page media records","mechanical local cross-check","73 of 73 pass","does not replace the absent 216-token harvest repository"
"C221","Stanza 12 Year links directly to the Eoh glyph","corpus observation","live previous and next navigation","direct page observation","verified 2026-08-29","supersedes the stale timed-out local link record"
"C222","The Shh tree-bough plate reads SILENT under the Octave group.place key","corpus observation","full-resolution 1080 x 1309 lead image and visible N over 2.2 marginal note","symbol-by-symbol coordinate transcription","verified","retain as a page-local inscription and keep the Joyce occurrence separate from Truth"
"C223","The For Anybody Who Rests With Them thorn-stave plate reads HOW UNCOMFORTABLE DO YOU WANT TO BE? under the Octave group.place key","corpus observation","full-resolution 1602 x 1855 lead image","twenty-eight-coordinate transcription plus direct Y and question mark","verified","retain as a page-local inscription and keep its Dante caption separate from the Arrows plaintext"
"C224","The Battle game-piece plate reads TO THE DEATH under the Octave group.place key","corpus observation","full-resolution 1620 x 1608 lead image","eight-coordinate transcription with Thorn carrying both TH digraphs","verified","retain Borges chess caption and pain alphabet image as separate evidence"
"C225","The Always solar-disc plate reads BEING ENDLESS under the Octave group.place key","corpus observation","full-resolution 2164 x 2560 lead image","twelve-coordinate transcription with two excluded margin examples","verified","retain Cortázar recurrence caption as separate evidence"
"C226","The It Never Deceives directional needle plate reads WHAT DID under the Octave group.place key","corpus observation","full-resolution 2450 x 1860 lead image","seven-coordinate transcription","verified","do not supply an object or punctuation from the Dante caption"
"C227","The Bright Fruits berry-cluster plate reads FEAR AND HOPE under the Octave group.place key","corpus observation","full-resolution 2098 x 2560 lead image","eleven-coordinate transcription","verified","the future chapter and Joyce caption confirm no individual coordinate"
"C228","The Friþ snowflake plate reads PEACE under the Octave group.place key","corpus observation","full-resolution 1544 x 2560 lead image","five-coordinate transcription","verified","the Old English title confirms but supplied no counts"
"C229","The upper field of You Knew it Beforehand reads WHAT DO YOU KNOW? under the Octave group.place key","corpus observation","full-resolution 1749 x 2176 lead image","twelve coordinate-valued face units plus one direct Roman K and a direct question mark","verified upper field","lower displayed bands are separately recorded in C233"
"C230","The Axaxaxas mlö woven plate reads CAN YOU READ ME — ARE YOU READING THE BEGINNING OF SOMETHING? under the Octave group.place key","corpus observation","full-resolution 1694 x 2560 lead image and visible READ coordinate examples","forty-seven-coordinate transcription plus direct dash and question mark","verified","retain as a page-local reading address"
"C231","The Soon After it Becomes Water melting-ice plate reads SO LET US MELT under the Octave group.place key","corpus observation","full-resolution 2004 x 1463 lead image","eleven two-count ice-cluster coordinates","verified","title and chapter position supplied no letter"
"C232","The Everything is Temporary animated candle plate reads EVERYTHING IS TEMPORARY under the Octave group.place key","corpus observation","full-resolution 1094 x 756 GIF","seventeen candle coordinates plus direct V and two Y marks","verified","the extinguishing animation changes carrier state but not the recovered text"
"C233","The lower field of You Knew it Beforehand contains displayed bands AFTER NO LIFE DEATH","corpus observation","full-resolution 1749 x 2176 lead image","fifteen face-coordinate transcription","verified mechanical bands","reject THERE IS because the extra units are absent; semantic reordering is separately graded in C236"
"C234","The Loop lead image is a complete twenty-nine-rune Octave group-place crib rather than an untranscribed plaintext sequence","corpus observation","full-resolution 1080 x 800 lead image","grid and written-coordinate inspection","verified key carrier","paper loops and recursive quotation do not supply a second route"
"C235","Œ is for Œdipean Riddle reads A TWIN / SUN / DAY under the Octave group.place key","corpus observation","full-resolution 1080 x 1080 lead image","eleven red-yellow ray-coordinate transcription","verified","retain SUN and DAY as displayed rows"
"C236","You Knew it Beforehand resolves semantically as NO LIFE AFTER DEATH","corpus inference","complete coordinate transcription and mortality caption","grammatical rebus resolution","high confidence; not mechanical band order","the carrier displays AFTER / NO / LIFE / DEATH and supplies no reordering path"
"C237","All seventeen Rune Code archive entries are classified with no untranscribed carrier units remaining","corpus observation","code register and plate reconciliations 0.19.0 through 0.26.0","archive-status reconciliation","verified 17 of 17","fourteen ordered inscriptions one complete rebus and two key carriers"
"C238","All 74 numbered filename tokens preserved in capture media match the 261-character transcription","corpus observation","verify_cipher_letter_run.py and page media records including 10-O","mechanical local cross-check","74 of 74 pass","does not replace the absent 216-token harvest repository"
